Communication Round,Accuracy
0,0.20642479
1,0.1290381
2,0.22177103
3,0.35478696
4,0.41666165
5,0.4497499
6,0.46808702
7,0.4773234
8,0.4900027
9,0.5002486
10,0.52700096
11,0.4835237
12,0.38840255
13,0.53377384
14,0.55996865
15,0.6104222
16,0.5932377
17,0.5731828
18,0.58903384
19,0.583474
20,0.61021876
21,0.62492466
22,0.6222351
23,0.636828
24,0.6234104
25,0.58351916
26,0.6276594
27,0.64199615
28,0.6535303
29,0.64252347
30,0.6447083
31,0.6473752
32,0.6308311
33,0.6368732
34,0.6295655
35,0.6233878
36,0.64302826
37,0.6638214
38,0.6434652
39,0.64300567
40,0.6416722
41,0.63337755
42,0.6507729
43,0.6476465
44,0.6518729
45,0.64681774
46,0.6414462
47,0.6307407
48,0.6439248
49,0.63142633
50,0.6373554
51,0.6512777
52,0.65631026
53,0.64849776
54,0.6580807
55,0.655346
56,0.6365718
57,0.65865326
58,0.6406175
59,0.65991896
60,0.6526338
61,0.653229
62,0.6613654
63,0.64762384
64,0.6550446
65,0.6480834
66,0.6400901
67,0.64888954
68,0.6410318
69,0.64801556
70,0.6517147
71,0.6729222
72,0.6515565
73,0.6391032
74,0.65309334
75,0.64300567
76,0.6527242
77,0.6540803
78,0.65401244
79,0.6531159
80,0.65810335
81,0.65070516
82,0.64070785
83,0.6447535
84,0.6476465
85,0.64514524
86,0.6557377
87,0.64696085
88,0.65226465
89,0.6576663
90,0.6429604
91,0.65681505
92,0.6443843
93,0.65120995
94,0.6480608
95,0.6612976
96,0.65281457
97,0.64833957
98,0.63847786
99,0.64429396
