Communication Round,Accuracy
0,0.14781314
1,0.1694843
2,0.15757877
3,0.18087754
4,0.19649184
5,0.23163742
6,0.23346248
7,0.23977545
8,0.2411469
9,0.24550675
10,0.25585404
11,0.2526682
12,0.2663294
13,0.258074
14,0.27446744
15,0.282408
16,0.2853377
17,0.29047665
18,0.3055093
19,0.2919175
20,0.30896196
21,0.31677446
22,0.30772924
23,0.32634264
24,0.3289468
25,0.3302489
26,0.32335424
27,0.3379333
28,0.3475015
29,0.36266226
30,0.35251236
31,0.38153177
32,0.3710564
33,0.39122802
34,0.38315937
35,0.3886932
36,0.38577422
37,0.37777492
38,0.3879835
39,0.4114103
40,0.40445697
41,0.4110261
42,0.4332789
43,0.4350346
44,0.43802297
45,0.45097443
46,0.44427723
47,0.44291645
48,0.44948554
49,0.4471482
50,0.4486371
51,0.44045103
52,0.4484503
53,0.4438343
54,0.46107626
55,0.45105445
56,0.47012147
57,0.4798871
58,0.47891054
59,0.4827474
60,0.46876067
61,0.48470053
62,0.49121094
63,0.521986
64,0.49537334
65,0.49251303
66,0.50201184
67,0.5141842
68,0.50611556
69,0.49974388
70,0.54158664
71,0.5156837
72,0.5134051
73,0.5344945
74,0.5330057
75,0.53280824
76,0.5370987
77,0.56136334
78,0.5585724
79,0.5432836
80,0.54932976
81,0.54022586
82,0.53937733
83,0.5667104
84,0.56319904
85,0.5482358
86,0.6006713
87,0.56898904
88,0.5860336
89,0.5913806
90,0.5546181
91,0.5720575
92,0.59436905
93,0.5931363
94,0.59977484
95,0.55455947
96,0.59528685
97,0.60504186
98,0.5958099
99,0.58884585
