Communication Round,Accuracy
0,0.1521036
1,0.14872032
2,0.14956883
3,0.18211024
4,0.19766586
5,0.21425675
6,0.22525507
7,0.22564998
8,0.23860143
9,0.24387914
10,0.2527269
11,0.24680883
12,0.26327166
13,0.2647712
14,0.27648994
15,0.28065234
16,0.27648994
17,0.30733436
18,0.33154032
19,0.32594776
20,0.31358862
21,0.3417008
22,0.33701548
23,0.38478696
24,0.3731376
25,0.39447254
26,0.37346312
27,0.38485634
28,0.37951994
29,0.3846589
30,0.40269062
31,0.39442453
32,0.41823554
33,0.4299543
34,0.40711984
35,0.4175952
36,0.4366622
37,0.4241643
38,0.4090036
39,0.42318773
40,0.43386054
41,0.44011483
42,0.41824624
43,0.42808124
44,0.4212453
45,0.43797493
46,0.4569032
47,0.43763876
48,0.45697254
49,0.4414863
50,0.42527962
51,0.44128883
52,0.4576823
53,0.4368596
54,0.46340293
55,0.45787975
56,0.4162931
57,0.43725452
58,0.446161
59,0.44681203
60,0.43783617
61,0.4060846
62,0.42014068
63,0.4426496
64,0.4368596
65,0.4225474
66,0.43705708
67,0.46080944
68,0.45293826
69,0.42768633
70,0.45182294
71,0.43848723
72,0.43803364
73,0.45326376
74,0.4577517
75,0.44850898
76,0.41317666
77,0.44252157
78,0.4457074
79,0.4501366
80,0.43054664
81,0.4535199
82,0.43458098
83,0.4221525
84,0.4266404
85,0.4213147
86,0.4109567
87,0.43881273
88,0.4084913
89,0.42079172
90,0.43835914
91,0.4344529
92,0.4472763
93,0.4499392
94,0.45227653
95,0.45943797
96,0.43126708
97,0.4295114
98,0.457741
99,0.41310728
