Communication Round,Accuracy
0,0.17408721
1,0.18837292
2,0.27610812
3,0.32921317
4,0.38902065
5,0.44847336
6,0.4084084
7,0.40926537
8,0.4415956
9,0.41645408
10,0.40794206
11,0.4362763
12,0.45305726
13,0.47815886
14,0.4777224
15,0.49075255
16,0.5027882
17,0.4749522
18,0.45542294
19,0.4652085
20,0.4861866
21,0.48112446
22,0.44457707
23,0.50719666
24,0.48154497
25,0.45362726
26,0.44668767
27,0.46285874
28,0.4440131
29,0.47001553
30,0.47371054
31,0.46396884
32,0.39215562
33,0.43385682
34,0.43495297
35,0.48714128
36,0.52692723
37,0.46850687
38,0.47146446
39,0.4485531
40,0.4743124
41,0.47808313
42,0.45047036
43,0.47365275
44,0.4683056
45,0.426991
46,0.46056482
47,0.42054167
48,0.41289064
49,0.4521923
50,0.47429848
51,0.5159239
52,0.48732063
53,0.46381736
54,0.45876318
55,0.4642698
56,0.4609634
57,0.4151168
58,0.49042374
59,0.4683155
60,0.48557878
61,0.48176223
62,0.41944358
63,0.47228557
64,0.50243944
65,0.45337215
66,0.46434352
67,0.48167253
68,0.48791257
