Communication Round,Accuracy
0,0.64163727
1,0.9136444
2,0.92667574
3,0.93771905
4,0.94038236
5,0.9448213
6,0.9409499
7,0.9395294
8,0.9456012
9,0.9473419
10,0.95245624
11,0.94805217
12,0.94822973
13,0.95121336
14,0.9503604
15,0.94805217
16,0.94769704
17,0.95071554
18,0.9475195
19,0.94965017
20,0.9503604
21,0.94911754
22,0.9430806
23,0.952136
24,0.9530238
25,0.9487624
26,0.9498626
27,0.9311843
28,0.95075035
29,0.9487972
30,0.94769704
31,0.95163816
32,0.95004016
33,0.9478746
34,0.95323616
35,0.9534486
36,0.95075035
37,0.9523832
38,0.95419365
39,0.9545139
40,0.9523484
41,0.9544791
42,0.95376885
43,0.95376885
44,0.95107067
45,0.9503953
46,0.9514606
47,0.95057285
48,0.94822973
49,0.9534137
50,0.95128304
51,0.95327103
52,0.9518157
53,0.95057285
54,0.9486197
55,0.95025253
56,0.9493299
57,0.952136
58,0.95217085
59,0.9477668
60,0.95057285
61,0.94783974
62,0.95107067
63,0.94982773
64,0.9457091
65,0.94855
66,0.950538
67,0.95142573
68,0.9502177
69,0.95206296
70,0.95288104
71,0.9522405
72,0.95220566
73,0.9495075
74,0.9508201
75,0.94989747
76,0.94808704
77,0.9502874
78,0.95167303
79,0.95202816
80,0.9524181
81,0.95007503
82,0.94954234
83,0.9504301
84,0.9497199
85,0.9473768
86,0.95149547
87,0.9463115
88,0.94900966
89,0.95163816
90,0.95075035
91,0.95018286
92,0.95060766
93,0.9495772
94,0.9506425
95,0.95153034
96,0.9497199
97,0.95149547
98,0.9490445
99,0.9483343
