Communication Round,Accuracy
0,0.7004831
1,0.6545621
2,0.8373904
3,0.9270983
4,0.93332493
5,0.9378544
6,0.9436345
7,0.94641536
8,0.9490056
9,0.95013106
10,0.9550835
11,0.955409
12,0.947922
13,0.76795805
14,0.8775034
15,0.94541097
16,0.9506332
17,0.9509587
18,0.9522469
19,0.95422786
20,0.95473003
21,0.95291185
22,0.9557066
23,0.95850146
24,0.9586781
25,0.9583248
26,0.9578225
27,0.95879906
28,0.9598174
29,0.95732033
30,0.96014297
31,0.9582969
32,0.95779467
33,0.9584596
34,0.9599802
35,0.96097064
36,0.956181
37,0.9586224
38,0.9617845
39,0.9034423
