Communication Round,Accuracy
0,0.35707316
1,0.7058028
2,0.8810284
3,0.917277
4,0.92465687
5,0.9311812
6,0.93563145
7,0.9387239
8,0.93956554
9,0.9472014
10,0.9477174
11,0.94853127
12,0.95001
13,0.9495357
14,0.9501867
15,0.95131207
16,0.72092986
17,0.89349574
18,0.93860286
19,0.9428207
20,0.9474058
21,0.94904745
22,0.9496845
23,0.95101446
24,0.9524654
25,0.9550835
26,0.9562506
27,0.95497644
28,0.95562744
29,0.9542836
30,0.95478576
31,0.9511911
32,0.9431881
33,0.9515166
34,0.9538371
35,0.95463693
36,0.95743173
37,0.95262814
38,0.95725507
39,0.8720627
