Communication Round,Accuracy
0,0.87987703
1,0.9383596
2,0.94556636
3,0.9441459
4,0.94396836
5,0.9493299
6,0.94900966
7,0.94464374
8,0.9457091
9,0.9461688
10,0.94506854
11,0.9402048
12,0.94293785
13,0.9475195
14,0.9444662
15,0.9471992
16,0.9482646
17,0.94148254
18,0.94506854
19,0.941695
20,0.94531584
21,0.94251305
22,0.9441808
23,0.94183767
24,0.946952
25,0.9444662
26,0.94450104
27,0.9437908
28,0.9460642
29,0.9448213
30,0.9460294
31,0.9448213
32,0.9484073
33,0.94698685
34,0.9444662
35,0.9443235
36,0.94645417
37,0.94464374
38,0.9450337
39,0.9444662
40,0.94265586
41,0.94425386
42,0.94698685
43,0.9458866
44,0.94595635
45,0.94485617
46,0.9428334
47,0.94290304
48,0.94290304
49,0.94038236
50,0.94077235
51,0.94290304
52,0.9403476
53,0.9410926
54,0.94396836
55,0.94340086
56,0.9428682
57,0.9436481
58,0.9441808
59,0.9439335
60,0.94609904
61,0.94251305
62,0.94222766
63,0.94237036
64,0.9402048
65,0.94208497
66,0.941695
67,0.9452113
68,0.9407375
69,0.9430806
70,0.94382566
71,0.9404521
72,0.94133985
73,0.94077235
74,0.9441808
75,0.94027454
76,0.941695
77,0.9420501
78,0.9393519
79,0.93867654
80,0.93988454
81,0.9366537
82,0.9394598
83,0.93857205
84,0.93803936
85,0.9371516
86,0.93523324
87,0.9382517
88,0.93718636
89,0.939707
90,0.9395643
91,0.9409847
92,0.94222766
93,0.9393867
94,0.9391395
95,0.94120055
96,0.9426906
97,0.94023967
98,0.94130504
99,0.94038236
