Communication Round,Accuracy
0,0.9399891
1,0.9446786
2,0.9447483
3,0.9459912
4,0.9509628
5,0.9524181
6,0.9483343
7,0.95149547
8,0.9529159
9,0.95220566
10,0.9523832
11,0.9503953
12,0.9509279
13,0.9504301
14,0.94652385
15,0.95170784
16,0.94954234
17,0.9511752
18,0.9513179
19,0.9490445
20,0.95114034
21,0.9511752
22,0.9508201
23,0.9522405
24,0.9506425
25,0.94698685
26,0.9486894
27,0.95167303
28,0.9495772
29,0.9533407
30,0.9524181
31,0.9518854
32,0.95206296
33,0.9522405
34,0.9514573
35,0.95010984
36,0.948014
37,0.9497547
38,0.94954234
39,0.9510673
40,0.95121
41,0.9506425
42,0.95153034
43,0.9513528
44,0.9526305
45,0.95088977
46,0.9482994
47,0.95302045
48,0.9492569
49,0.94982445
50,0.95245296
51,0.9496469
52,0.9471611
53,0.9499323
54,0.9512449
55,0.9528081
56,0.9506774
57,0.95010984
58,0.9497896
59,0.95099765
60,0.9495772
61,0.9495772
62,0.95099765
63,0.9543712
64,0.95010984
65,0.95206296
66,0.95049983
67,0.95018286
68,0.9519933
69,0.9497199
70,0.9508201
71,0.95167303
72,0.95153034
73,0.95010984
74,0.9495772
75,0.95202816
76,0.94996715
77,0.9506425
78,0.9518506
79,0.9504301
80,0.95114034
81,0.9525608
82,0.95366096
83,0.95167303
84,0.95202816
85,0.9522754
86,0.9502874
87,0.9533059
88,0.95273834
89,0.95149547
90,0.9524181
91,0.9513876
92,0.9489748
93,0.9526305
94,0.9474847
95,0.9514606
96,0.94851184
97,0.94769377
98,0.95010984
99,0.9502874
