Communication Round,Accuracy
0,0.9485816
1,0.9505695
2,0.9500717
3,0.94893664
4,0.95252264
5,0.95273507
6,0.95035714
7,0.9511022
8,0.9520248
9,0.9525575
10,0.95039195
11,0.95170456
12,0.95127976
13,0.95273507
14,0.9545106
15,0.9536228
16,0.9536228
17,0.95326775
18,0.9536228
19,0.9509595
20,0.9493615
21,0.9546533
22,0.95113707
23,0.9506044
24,0.9514573
25,0.95184726
26,0.9507122
27,0.95127976
28,0.9507122
29,0.9511022
30,0.95341045
31,0.95237994
32,0.9520248
33,0.9530902
34,0.95326775
35,0.95341045
36,0.95394313
37,0.95447576
38,0.95390826
39,0.9523451
40,0.9521327
41,0.9502144
42,0.9505695
43,0.9514922
44,0.9516697
45,0.94982445
46,0.9506044
47,0.9524878
48,0.95113707
49,0.9516697
50,0.9501796
51,0.9541555
52,0.9506044
53,0.9486164
54,0.9516349
55,0.9514573
56,0.9500369
57,0.95330256
58,0.9505695
59,0.94943446
60,0.9513146
61,0.9530902
62,0.9546882
63,0.9514573
64,0.9525575
65,0.95355314
66,0.9541555
67,0.9516349
68,0.9536228
69,0.9523451
70,0.95092463
71,0.9480489
72,0.95515114
73,0.95245296
74,0.9521327
75,0.9507471
76,0.95287776
77,0.953588
78,0.9502144
79,0.9524878
80,0.95252264
81,0.95237994
82,0.9537656
83,0.9491491
84,0.95383525
85,0.95341045
86,0.9541904
87,0.95181245
88,0.9529126
89,0.9532329
90,0.95195514
91,0.95199
92,0.95252264
93,0.9529126
94,0.9529126
95,0.9521675
96,0.9522024
97,0.95252264
98,0.9530553
99,0.9537307
