Communication Round,Accuracy
0,0.043207906
1,0.08896683
2,0.11677296
3,0.088647954
4,0.13609694
5,0.13026148
6,0.15911989
7,0.25503826
8,0.26913264
9,0.2374362
10,0.24346301
11,0.31313774
12,0.28667092
13,0.29904336
14,0.31514668
15,0.34282523
16,0.36138394
17,0.34161353
18,0.24700254
19,0.32155612
20,0.37790176
21,0.3673788
22,0.36607143
23,0.36511478
24,0.3674426
25,0.39725766
26,0.41106504
27,0.41521046
28,0.40341198
29,0.3986288
30,0.4080357
31,0.3830038
32,0.38061222
33,0.39145407
34,0.38013393
35,0.38826528
36,0.39177296
37,0.39751273
38,0.40117982
39,0.40117982
40,0.40117982
41,0.4043686
42,0.4043686
43,0.40564412
44,0.40564412
45,0.40564412
46,0.40564412
47,0.40564412
48,0.40564412
49,0.40564412
50,0.40564412
51,0.40564412
52,0.40564412
53,0.40564412
54,0.40564412
55,0.40564412
56,0.40564412
57,0.40564412
58,0.40564412
59,0.40564412
60,0.40564412
61,0.40564412
62,0.40564412
63,0.40564412
64,0.40564412
65,0.40564412
66,0.40564412
67,0.40564412
68,0.40564412
