Communication Round,Accuracy
0,0.28982025
1,0.28644964
2,0.48811144
3,0.5967026
4,0.67566365
5,0.79920053
6,0.8172294
7,0.77534497
8,0.8505435
9,0.8052102
10,0.87071496
11,0.83604205
12,0.8574938
13,0.8995611
14,0.81963325
15,0.82977116
16,0.90110266
17,0.8635034
18,0.8803303
19,0.8887438
20,0.84359324
21,0.8944137
22,0.89020693
23,0.8892663
24,0.8947534
25,0.8769858
26,0.8206
27,0.8671092
28,0.90557075
29,0.8833352
30,0.8965563
31,0.90977746
32,0.89775825
33,0.90763485
34,0.905231
35,0.89715725
36,0.88153225
37,0.8797294
38,0.8965563
39,0.8986204
40,0.9025659
41,0.9073736
42,0.89020693
43,0.90530944
44,0.9064329
45,0.9054923
46,0.90368944
47,0.8995611
48,0.8968175
49,0.9082358
50,0.8992998
51,0.91192
52,0.91278225
53,0.90557075
54,0.9043688
55,0.90917647
56,0.9151861
57,0.9137229
58,0.8914873
59,0.89801943
60,0.89527595
61,0.89775825
62,0.8965563
63,0.91278225
64,0.90076303
65,0.9137229
66,0.90496975
67,0.8898673
68,0.8989602
69,0.90557075
70,0.90651137
71,0.90530944
72,0.9037678
73,0.8989602
74,0.9161267
75,0.91432387
76,0.90797454
77,0.9059104
78,0.90951616
79,0.91252095
80,0.9109794
81,0.90857553
82,0.91312194
83,0.90557075
84,0.90136397
85,0.9043688
86,0.90136397
87,0.90496975
88,0.89982235
89,0.89527595
90,0.9004233
91,0.9040291
92,0.9037678
93,0.9107181
94,0.90771323
95,0.90951616
96,0.9107181
97,0.9023046
98,0.90651137
99,0.90530944
