Communication Round,Accuracy
0,0.67618626
1,0.86737037
2,0.8878031
3,0.91278225
4,0.904029
5,0.919654
6,0.919654
7,0.92480147
8,0.91063964
9,0.9154473
10,0.9244617
11,0.91845214
12,0.93930286
13,0.9375
14,0.926944
15,0.9302101
16,0.9274665
17,0.9341555
18,0.9411058
19,0.93810093
20,0.9423077
21,0.9362981
22,0.9387019
23,0.93810093
24,0.93441683
25,0.9368207
26,0.93441683
27,0.92866844
28,0.93535745
29,0.9368207
30,0.9377613
31,0.9371604
32,0.932013
33,0.93956417
34,0.9375
35,0.9338159
36,0.93956417
37,0.932013
38,0.9377613
39,0.93836224
40,0.93836224
41,0.9365594
42,0.93930286
43,0.93509614
44,0.9375
45,0.9329536
46,0.93810093
47,0.9423077
48,0.93930286
49,0.9405048
50,0.942569
51,0.9417067
52,0.9417067
53,0.9417067
54,0.9417067
55,0.93175167
56,0.9362981
57,0.93810093
58,0.93930286
59,0.9405048
60,0.9417067
61,0.93509614
62,0.9362981
63,0.9365594
64,0.9365594
65,0.93956417
66,0.93990386
67,0.9417067
68,0.9411058
69,0.9417067
70,0.9344952
71,0.93990386
72,0.9411058
73,0.9417067
74,0.9417067
75,0.9417067
76,0.9423077
77,0.93836224
78,0.93836224
79,0.93836224
80,0.93896323
81,0.93896323
82,0.93896323
83,0.93896323
84,0.94016516
85,0.94016516
86,0.9377613
87,0.9377613
88,0.94316995
89,0.94316995
90,0.94316995
91,0.94316995
92,0.94316995
93,0.94316995
94,0.94316995
95,0.94316995
96,0.94316995
97,0.94316995
98,0.9371604
99,0.9371604
