Communication Round,Accuracy
0,0.8080581
1,0.88385767
2,0.868494
3,0.90308845
4,0.90368944
5,0.91570866
6,0.9172502
7,0.92480147
8,0.9220579
9,0.9302102
10,0.93655944
11,0.92926943
12,0.926944
13,0.9317517
14,0.93776137
15,0.9314121
16,0.9383623
17,0.94076616
18,0.93655944
19,0.9413671
20,0.9413671
21,0.938702
22,0.9389633
23,0.94042647
24,0.93595845
25,0.9347565
26,0.9374217
27,0.9250627
28,0.9416284
29,0.93588006
30,0.93828386
31,0.9458352
32,0.9389633
33,0.9356188
34,0.9434313
35,0.9392246
36,0.92686564
37,0.9416284
38,0.9392246
39,0.94102746
40,0.93261397
41,0.93321496
42,0.93201303
43,0.93682075
44,0.93776137
45,0.94317
46,0.9380227
47,0.9353575
48,0.9413671
49,0.9416284
50,0.94797766
51,0.94102746
52,0.9386236
53,0.9371604
54,0.94377095
55,0.9473767
56,0.9316733
57,0.9356188
58,0.942569
59,0.9461748
60,0.9419681
61,0.94377095
62,0.9497806
63,0.9317517
64,0.9350178
65,0.9383623
66,0.93595845
67,0.9419681
68,0.9389633
69,0.9347565
70,0.94377095
71,0.9419681
72,0.9311508
73,0.9386236
74,0.92840725
75,0.9314121
76,0.942569
77,0.9461748
78,0.9383623
79,0.9347565
80,0.9335546
81,0.9419681
82,0.9371604
83,0.94831735
84,0.9429087
85,0.94557387
86,0.94437194
87,0.9380227
88,0.94377095
89,0.94797766
90,0.95158345
91,0.9434313
92,0.9380227
93,0.9374217
94,0.9422294
95,0.93682075
96,0.9464361
97,0.942569
98,0.95338637
99,0.9413671
