Communication Round,Accuracy
0,0.8862615
1,0.91090095
2,0.9233383
3,0.92900825
4,0.92926943
5,0.92265886
6,0.93107235
7,0.93407714
8,0.9286685
9,0.9344169
10,0.9419681
11,0.9380227
12,0.9283289
13,0.9247231
14,0.9277279
15,0.93888485
16,0.92885137
17,0.9394858
18,0.93888485
19,0.93828386
20,0.9416284
21,0.9380227
22,0.9428303
23,0.9461748
24,0.9413671
25,0.94557387
26,0.94463325
27,0.94317
28,0.94797766
29,0.93433845
30,0.9417068
31,0.94016516
32,0.94350964
33,0.94317
34,0.9467758
35,0.9434313
36,0.9465145
37,0.9452342
38,0.94557387
39,0.95132214
40,0.9497806
41,0.9428303
42,0.9449729
43,0.9467758
44,0.9419681
45,0.9416284
46,0.9419681
47,0.942569
48,0.9419681
49,0.95312506
50,0.9470371
51,0.94857866
52,0.95218444
53,0.9461748
54,0.93467814
55,0.95338637
56,0.94317
57,0.94437194
58,0.9509825
59,0.9473767
60,0.9467758
61,0.95192313
62,0.94102746
63,0.9449729
64,0.936481
65,0.9367423
66,0.94317
67,0.9419681
68,0.9527854
69,0.9491796
70,0.94403225
71,0.9419681
72,0.9503815
73,0.9467758
74,0.94437194
75,0.94857866
76,0.94463325
77,0.9389633
78,0.942569
79,0.94857866
80,0.9527854
81,0.94857866
82,0.94403225
83,0.94076616
84,0.9428303
85,0.93588006
86,0.93621975
87,0.9380227
88,0.942569
89,0.9419681
90,0.9416284
91,0.94411063
92,0.9507212
93,0.94771636
94,0.9473767
95,0.94557387
96,0.9489183
97,0.94437194
98,0.95192313
99,0.9467758
