Communication Round,Accuracy
0,0.18567817
1,0.3959138
2,0.5077702
3,0.50669503
4,0.5563756
5,0.5597731
6,0.6844039
7,0.6012397
8,0.65711117
9,0.60410446
10,0.66694707
11,0.6203359
12,0.5739519
13,0.58079624
14,0.62256163
15,0.61469436
16,0.61121994
17,0.604886
18,0.5935443
19,0.6634129
20,0.6249262
21,0.57366496
22,0.6527341
23,0.5999431
24,0.635571
25,0.63159865
26,0.64238036
27,0.65148205
28,0.669957
29,0.6120588
30,0.6643345
31,0.70230937
32,0.60968435
33,0.66555667
34,0.5980557
35,0.6694292
36,0.6714668
37,0.6438662
38,0.624961
39,0.5979894
40,0.5774637
41,0.61203396
42,0.57304275
43,0.65612805
44,0.5851094
45,0.6360189
46,0.6192541
47,0.63828635
48,0.59527904
49,0.6372384
50,0.6710444
51,0.6964755
52,0.61527926
53,0.60177654
54,0.67098224
55,0.6412207
56,0.6494138
57,0.5864609
58,0.6587198
59,0.65458834
60,0.6298838
61,0.6369747
62,0.6505564
63,0.62708634
64,0.6420891
65,0.67323464
66,0.56568575
67,0.64683044
68,0.6410938
69,0.6041715
70,0.6116555
71,0.67462355
72,0.6622589
73,0.5824332
74,0.6013319
75,0.65578544
76,0.66866755
77,0.64198464
78,0.6575077
79,0.60010225
80,0.6556087
81,0.6399463
82,0.58887523
83,0.5866625
84,0.6478185
85,0.64450103
86,0.59633166
87,0.64703697
88,0.6141045
89,0.72585565
90,0.65116847
91,0.6589959
92,0.68386465
93,0.63736546
94,0.59655064
95,0.6649219
96,0.6692974
97,0.6804349
98,0.56155676
99,0.6832871
