Communication Round,Accuracy
0,0.34378982
1,0.5137808
2,0.640294
3,0.6085263
4,0.63981116
5,0.65738744
6,0.6393333
7,0.6289424
8,0.69278634
9,0.6284869
10,0.65022945
11,0.6375065
12,0.6926843
13,0.6631292
14,0.6387111
15,0.61158264
16,0.61362845
17,0.6735276
18,0.6780964
19,0.6193876
20,0.629806
21,0.63445264
22,0.6176778
23,0.6238968
24,0.672947
25,0.63034606
26,0.6514241
27,0.60499144
28,0.6364281
29,0.63945025
30,0.678682
31,0.6634172
32,0.6539453
33,0.66280246
34,0.628312
35,0.62626934
36,0.66559243
37,0.64775556
38,0.6574141
39,0.63668764
40,0.6285466
41,0.67364883
42,0.6380192
43,0.68500865
44,0.62552017
45,0.6407893
46,0.63558507
47,0.676185
48,0.66800666
49,0.6314412
50,0.6542856
51,0.6378674
52,0.65213597
53,0.6444379
54,0.7078414
55,0.64981633
56,0.6835925
57,0.66445255
58,0.64401734
59,0.6796594
60,0.7126516
61,0.65130967
62,0.595649
63,0.6368494
64,0.6288527
65,0.6633905
66,0.6213961
67,0.6126105
68,0.6451174
69,0.6579442
70,0.6489993
71,0.639174
72,0.652648
73,0.6397415
74,0.68204445
75,0.60405385
76,0.6457371
77,0.6229268
78,0.65107816
79,0.61952955
80,0.66745234
81,0.6815467
82,0.6511006
83,0.6852942
84,0.6731294
85,0.677903
86,0.66796434
87,0.66095144
88,0.7069447
89,0.6619918
90,0.6390122
91,0.6432998
92,0.6322301
93,0.6390645
94,0.64440554
95,0.6799887
96,0.61083347
97,0.6550305
98,0.6697918
99,0.6478377
