Communication Round,Accuracy
0,0.15414444
1,0.57244796
2,0.69104165
3,0.7183966
4,0.6753146
5,0.73789173
6,0.69338864
7,0.7425235
8,0.7172542
9,0.71365035
10,0.73653036
11,0.6954842
12,0.7072117
13,0.7050215
14,0.7101162
15,0.68112856
16,0.7027691
17,0.71224415
18,0.73096776
19,0.73239386
20,0.7619291
21,0.69331896
22,0.73674935
23,0.6872163
24,0.6980627
25,0.7013953
26,0.7140536
27,0.72335684
28,0.73139834
29,0.6990333
30,0.70360786
31,0.7241334
32,0.72328717
33,0.7377499
34,0.6844238
35,0.6964424
36,0.6999866
37,0.6809245
38,0.68211913
39,0.7157634
40,0.7320056
41,0.7267143
42,0.6935305
43,0.7251339
44,0.72537035
45,0.7026994
46,0.72974575
47,0.6960467
48,0.67043895
49,0.7031275
50,0.7293251
51,0.74585605
52,0.73934776
53,0.7435265
54,0.71901137
55,0.74026114
56,0.72043496
57,0.7289817
58,0.7176201
59,0.7315999
60,0.69055384
61,0.71697295
62,0.72765017
63,0.697983
64,0.723877
65,0.71590775
66,0.6875448
67,0.692413
68,0.70873237
69,0.7210024
70,0.7236331
71,0.6690651
72,0.6890257
73,0.7071246
74,0.7129983
75,0.70717186
76,0.6948446
77,0.68777376
78,0.7226774
79,0.71104455
80,0.69519055
81,0.7315203
82,0.70182335
83,0.74084103
84,0.7404652
85,0.7271997
86,0.7068807
87,0.6797796
88,0.7401442
89,0.7145339
90,0.7035705
91,0.7193896
92,0.7014326
93,0.723215
94,0.71917063
95,0.72762525
96,0.7158953
97,0.71848124
98,0.7345044
99,0.715619
