Communication Round,Accuracy
0,0.24035323
1,0.4014067
2,0.5421263
3,0.6584676
4,0.66474444
5,0.6774948
6,0.67148924
7,0.6436813
8,0.6625792
9,0.6519368
10,0.65675706
11,0.6929979
12,0.7147156
13,0.63373834
14,0.67463017
15,0.649619
16,0.66985655
17,0.6682132
18,0.6703543
19,0.6713822
20,0.6713474
21,0.6729171
22,0.6790305
23,0.71213216
24,0.674734
25,0.6754234
26,0.66954046
27,0.68688524
28,0.68516475
29,0.6565213
30,0.677743
31,0.66689235
32,0.69346327
33,0.6978462
34,0.66582143
35,0.65934616
36,0.7009316
37,0.6822834
38,0.67506075
39,0.7112628
40,0.67930174
41,0.68989676
42,0.6540349
43,0.69301283
44,0.70593494
45,0.68153423
46,0.6837468
47,0.6894886
48,0.6903149
49,0.6872629
50,0.70020556
51,0.67673004
52,0.6708041
53,0.70504075
54,0.68289495
55,0.65952533
56,0.6839957
57,0.69130796
58,0.72188026
59,0.6720784
60,0.6907846
61,0.7294944
62,0.698174
63,0.6990632
64,0.7129709
65,0.6993071
66,0.71261746
67,0.698996
68,0.71354264
69,0.6756083
70,0.6837095
71,0.6709716
72,0.68997145
73,0.72028315
74,0.67885375
75,0.69699425
76,0.6986021
77,0.6942871
78,0.67891526
79,0.6718028
80,0.68313706
81,0.66961265
82,0.67914426
83,0.702741
84,0.6877962
85,0.7039563
86,0.71151674
87,0.7281429
88,0.7144642
89,0.6737733
90,0.70114887
91,0.70164347
92,0.66484153
93,0.69617116
94,0.6365632
95,0.66652894
96,0.690295
97,0.69588
98,0.70077306
99,0.65425825
