Communication Round,Accuracy
0,0.8697155
1,0.87967086
2,0.8567866
3,0.8814529
4,0.8595965
5,0.86304784
6,0.8453877
7,0.8518505
8,0.8564848
9,0.828306
10,0.8377238
11,0.8384189
12,0.8426101
13,0.8432871
14,0.8412928
15,0.8265098
16,0.8445738
17,0.8020561
18,0.845046
19,0.8167808
20,0.8068279
21,0.81981903
22,0.7916708
23,0.84625626
24,0.79711145
25,0.83040977
26,0.82138026
27,0.81467205
28,0.83242327
29,0.80208415
30,0.83543473
31,0.8017731
32,0.8225923
33,0.81841034
34,0.8248746
35,0.79421693
36,0.8168605
37,0.7958247
38,0.8355368
39,0.7878579
40,0.818533
41,0.7830612
42,0.76931846
43,0.81104153
44,0.8260493
45,0.79566294
46,0.793151
47,0.768532
48,0.7913242
49,0.78329337
50,0.7976583
51,0.8126916
52,0.7827682
53,0.8106608
54,0.81497395
55,0.7769692
56,0.78965735
57,0.7774794
58,0.81033653
59,0.79379064
60,0.8221262
61,0.80827147
62,0.80201876
63,0.77773255
64,0.7809805
65,0.8052244
66,0.76319766
67,0.77934605
68,0.7929302
69,0.78336555
70,0.7696296
71,0.7920989
72,0.787459
73,0.7958471
74,0.80837846
75,0.7842889
76,0.787133
77,0.7919769
78,0.7927503
79,0.79078907
80,0.77374613
81,0.7786566
82,0.79474384
83,0.7869843
84,0.7940377
85,0.78193444
86,0.7867746
87,0.8073705
88,0.79804975
89,0.7756153
90,0.769418
91,0.801905
92,0.76088375
93,0.77489346
94,0.77279043
95,0.7633353
96,0.76971596
97,0.79720104
98,0.76812065
99,0.7818989
