Communication Round,Accuracy
0,0.82344276
1,0.8363176
2,0.86670715
3,0.8462282
4,0.8204089
5,0.8152602
6,0.81335366
7,0.78691715
8,0.781986
9,0.7937316
10,0.7763736
11,0.7980647
12,0.78865683
13,0.81296045
14,0.7808543
15,0.79488146
16,0.81096935
17,0.79628766
18,0.7797162
19,0.80648196
20,0.7730617
21,0.7738748
22,0.7961084
23,0.7746446
24,0.7684822
25,0.81318694
26,0.75861144
27,0.7925569
28,0.7793012
29,0.7772323
30,0.7803309
31,0.7735513
32,0.8036621
33,0.7678202
34,0.75530803
35,0.7801126
36,0.7791338
37,0.78184485
38,0.7752263
39,0.785379
40,0.7813115
41,0.7742283
42,0.7673523
43,0.7845577
44,0.7648652
45,0.7622476
46,0.7708118
47,0.7891464
48,0.7600368
49,0.77097607
50,0.7697956
51,0.78295916
52,0.7821684
53,0.76623976
54,0.77492267
55,0.76561505
56,0.7671009
57,0.77655286
58,0.7698137
59,0.76644313
60,0.80358493
61,0.7733746
62,0.7857623
63,0.7760775
64,0.7814584
65,0.76631194
66,0.79360646
67,0.7925263
68,0.76715994
69,0.7857168
70,0.77782965
71,0.7652143
72,0.7756501
73,0.76969606
74,0.79030377
75,0.78868175
76,0.78374064
77,0.77730197
78,0.7929003
79,0.7872499
80,0.76705045
81,0.7647532
82,0.785944
83,0.77743393
