Communication Round,Accuracy
0,0.16145834
1,0.6106771
2,0.7050781
3,0.7137587
4,0.8619792
5,0.8552517
6,0.8117405
7,0.8611111
8,0.8614366
9,0.8453776
10,0.84483504
11,0.8552517
12,0.7352431
13,0.8446181
14,0.89160156
15,0.8902995
16,0.84787333
17,0.8786892
18,0.87282985
19,0.874783
20,0.8471137
21,0.8569879
22,0.8874783
23,0.8487413
24,0.8842231
25,0.86762154
26,0.88031685
27,0.8972439
28,0.9091797
29,0.84233946
30,0.8874783
31,0.9033203
32,0.9082031
33,0.90950525
34,0.89105904
35,0.88585067
36,0.9075521
37,0.89453125
38,0.89105904
39,0.87738717
40,0.90625
41,0.90201825
42,0.9085287
43,0.8627387
44,0.90983075
45,0.87033427
46,0.91243494
47,0.9075521
48,0.9026693
49,0.882487
50,0.91471356
51,0.890408
52,0.9088542
53,0.90527344
54,0.9000651
55,0.8783637
56,0.9114584
57,0.89659286
58,0.91243494
59,0.8857422
60,0.8964844
61,0.9033203
62,0.8873698
63,0.88519967
64,0.9007162
65,0.9039714
66,0.890408
67,0.89420575
68,0.90690106
69,0.88606775
70,0.91308594
71,0.9059245
72,0.89388025
73,0.91243494
74,0.89713544
75,0.9140625
76,0.9121094
77,0.9075521
78,0.90983075
79,0.90722656
80,0.90462244
81,0.90722656
82,0.9104818
83,0.9108073
84,0.90690106
85,0.9059245
86,0.9114584
87,0.91243494
88,0.8907335
89,0.9104818
90,0.91015625
91,0.8922526
92,0.91308594
93,0.8907335
94,0.89746094
95,0.9091797
96,0.90983075
97,0.9033203
98,0.9091797
99,0.9117839
