Communication Round,Accuracy
0,0.8590495
1,0.8894314
2,0.85232204
3,0.8796658
4,0.90180117
5,0.91308594
6,0.8978949
7,0.9192708
8,0.9166667
9,0.90928817
10,0.8786892
11,0.92610675
12,0.9329427
13,0.91514754
14,0.9241536
15,0.9316406
16,0.92871094
17,0.929362
18,0.92903644
19,0.93619794
20,0.9057074
21,0.9195964
22,0.91221786
23,0.9358724
24,0.9053819
25,0.92035586
26,0.91221786
27,0.92035586
28,0.9326172
29,0.9177517
30,0.9128689
31,0.9264323
32,0.93359375
33,0.93326825
34,0.91742617
35,0.9177517
36,0.92838544
37,0.9326172
38,0.9326172
39,0.9352214
40,0.9319661
41,0.9135199
42,0.9316406
43,0.9322917
44,0.92838544
45,0.93033856
46,0.91482204
47,0.92003036
48,0.914171
49,0.9157986
50,0.91970485
51,0.93391925
52,0.9322917
53,0.92838544
54,0.9316406
55,0.9037543
56,0.9329427
57,0.9352214
58,0.90928817
59,0.92003036
60,0.91547304
61,0.91742617
62,0.90473086
63,0.91742617
64,0.9322917
65,0.9342448
66,0.93359375
67,0.9313151
68,0.92545575
69,0.9355469
70,0.9210069
71,0.90277773
72,0.898546
73,0.9031033
74,0.9144965
75,0.9206814
76,0.91840273
77,0.9322917
78,0.9355469
79,0.93033856
80,0.91059023
81,0.9115668
82,0.9313151
83,0.9210069
84,0.9244792
85,0.9329427
86,0.9342448
87,0.9352214
88,0.9164496
89,0.90733504
90,0.9099392
91,0.9313151
92,0.91710067
93,0.9296875
94,0.93033856
95,0.9296875
96,0.91189235
97,0.93359375
98,0.9319661
99,0.9280599
