Communication Round,Accuracy
0,0.8413629
1,0.89420575
2,0.89333767
3,0.8878038
4,0.93033856
5,0.93033856
6,0.92057294
7,0.92089844
8,0.9290365
9,0.9121094
10,0.9316406
11,0.90375435
12,0.9339193
13,0.9235026
14,0.90983075
15,0.93033856
16,0.9316406
17,0.9232856
18,0.92285156
19,0.93815106
20,0.92426217
21,0.9265408
22,0.944987
23,0.9284939
24,0.9427084
25,0.9388021
26,0.9388021
27,0.9109158
28,0.929145
29,0.94140625
30,0.9391276
31,0.94140625
32,0.9417318
33,0.9417318
34,0.94596356
35,0.93619794
36,0.9371745
37,0.9404297
38,0.9420573
39,0.9401042
40,0.93847656
41,0.9498698
42,0.94140625
43,0.94563806
44,0.9498698
45,0.93815106
46,0.9394531
47,0.9339193
48,0.9404297
49,0.9469401
50,0.9469401
51,0.9430339
52,0.9453125
53,0.9469401
54,0.9469401
55,0.9420573
56,0.9475912
57,0.9453125
58,0.9547526
59,0.9505209
60,0.9472656
61,0.94921875
62,0.9547526
63,0.9267578
64,0.953125
65,0.9433594
66,0.94368494
67,0.94368494
68,0.94401044
69,0.9427084
70,0.94889325
71,0.9495443
72,0.95214844
73,0.94856775
74,0.9420573
75,0.95377606
76,0.9505209
77,0.9375
78,0.94856775
79,0.9482422
80,0.9466146
81,0.9430339
82,0.9475912
83,0.95410156
84,0.9511719
85,0.9479167
86,0.9423828
87,0.9501953
88,0.9498698
89,0.94921875
90,0.94108075
91,0.94628906
92,0.93815106
93,0.95149744
94,0.9560547
95,0.95638025
96,0.95410156
97,0.95345056
98,0.9501953
99,0.94921875
