Communication Round,Accuracy
0,0.90928817
1,0.9192709
2,0.93782556
3,0.9265408
4,0.9433594
5,0.94075525
6,0.93240017
7,0.9375
8,0.94368494
9,0.94563806
10,0.9420573
11,0.9475912
12,0.9479167
13,0.9511719
14,0.94433594
15,0.9423828
16,0.9430339
17,0.9430339
18,0.9472656
19,0.94921875
20,0.91807723
21,0.9427084
22,0.9479167
23,0.94889325
24,0.9417318
25,0.9508464
26,0.9501953
27,0.94401044
28,0.94856775
29,0.9482422
30,0.9479167
31,0.944987
32,0.95182294
33,0.9557292
34,0.95214844
35,0.952474
36,0.9288194
37,0.9511719
38,0.9508464
39,0.953125
40,0.95182294
41,0.9501953
42,0.9479167
43,0.952474
44,0.9511719
45,0.9527995
46,0.94628906
47,0.94856775
48,0.9511719
49,0.9482422
50,0.9423828
51,0.9482422
52,0.94889325
53,0.9430339
54,0.94368494
55,0.9423828
56,0.9472656
57,0.9550781
58,0.9498698
59,0.9479167
60,0.9527995
61,0.9560547
62,0.94921875
63,0.9423828
64,0.9501953
65,0.9527995
66,0.95182294
67,0.9505209
68,0.94889325
69,0.93272567
70,0.9547526
71,0.9580078
72,0.95963544
73,0.95638025
74,0.9501953
75,0.9446615
76,0.9469401
77,0.9505209
78,0.92719185
79,0.94628906
80,0.9544271
81,0.952474
82,0.9544271
83,0.94889325
84,0.95149744
85,0.9557292
86,0.94563806
87,0.9388021
88,0.9501953
89,0.9495443
90,0.95410156
91,0.952474
92,0.95182294
93,0.9482422
94,0.94921875
95,0.9511719
96,0.960612
97,0.95703125
98,0.93847656
99,0.952474
